team_name,common_name
Arsenal FC,Arsenal
Tottenham Hotspur FC,Tottenham Hotspur
Manchester City FC,Manchester City
Everton FC,Everton
Manchester United FC,Manchester United
Liverpool FC,Liverpool
Chelsea FC,Chelsea
Sunderland AFC,Sunderland
Aston Villa FC,Aston Villa
Newcastle United FC,Newcastle United
West Ham United FC,West Ham United
Fulham FC,Fulham
Blackburn Rovers FC,Blackburn Rovers
Wigan Athletic FC,Wigan Athletic
Bolton Wanderers FC,Bolton Wanderers
Portsmouth FC,Portsmouth
Birmingham City FC,Birmingham City
Middlesbrough FC,Middlesbrough
Derby County FC,Derby County
Reading FC,Reading